YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-12,WEEKENDS/HOLIDAY,5,TRAIN,TE7,122,18
2025-12,WEEKENDS/HOLIDAY,5,TRAIN,EW27,3488,403
2025-12,WEEKENDS/HOLIDAY,11,TRAIN,NE8,11640,20005
2025-12,WEEKDAY,22,TRAIN,NE13,8700,25052
2025-12,WEEKDAY,23,TRAIN,CC8,991,2835
2025-12,WEEKDAY,16,TRAIN,EW31,7893,1057
2025-12,WEEKENDS/HOLIDAY,5,TRAIN,DT6,92,32
2025-12,WEEKDAY,9,TRAIN,DT4,4067,920
2025-12,WEEKDAY,19,TRAIN,EW10,11151,27288
2025-12,WEEKDAY,8,TRAIN,EW6,28597,15427
2025-12,WEEKDAY,14,TRAIN,TE4,4684,3680
2025-12,WEEKENDS/HOLIDAY,9,TRAIN,SW7,1589,465
2025-12,WEEKDAY,14,TRAIN,NS14,23547,22133
2025-12,WEEKENDS/HOLIDAY,0,TRAIN,PE1,28,352
2025-12,WEEKENDS/HOLIDAY,0,TRAIN,SE2,26,421
2025-12,WEEKDAY,19,TRAIN,EW11,25240,26940
2025-12,WEEKENDS/HOLIDAY,0,TRAIN,EW2/DT32,466,2329
2025-12,WEEKENDS/HOLIDAY,11,TRAIN,TE3,4974,2759
2025-12,WEEKENDS/HOLIDAY,15,TRAIN,DT10,1537,1127
2025-12,WEEKDAY,16,TRAIN,DT17,23812,7151
2025-12,WEEKENDS/HOLIDAY,15,TRAIN,TE16,3955,3446
2025-12,WEEKDAY,18,TRAIN,TE5,13091,14175
2025-12,WEEKDAY,17,TRAIN,DT31,13050,16889
2025-12,WEEKDAY,8,TRAIN,EW1,77115,20295
2025-12,WEEKENDS/HOLIDAY,17,TRAIN,BP7,414,494
2025-12,WEEKDAY,7,TRAIN,EW28,116047,38450
2025-12,WEEKDAY,16,TRAIN,NS14,26562,32494
2025-12,WEEKENDS/HOLIDAY,10,TRAIN,BP2,1508,489
2025-12,WEEKDAY,12,TRAIN,CG1/DT35,13199,13566
2025-12,WEEKDAY,10,TRAIN,BP10,3698,2176
2025-12,WEEKENDS/HOLIDAY,19,TRAIN,NS19,14052,18989
2025-12,WEEKDAY,0,TRAIN,SE4,51,594
2025-12,WEEKDAY,12,TRAIN,EW22,13215,10558
2025-12,WEEKDAY,12,TRAIN,DT22,8915,11095
2025-12,WEEKDAY,9,TRAIN,EW32,2000,4915
2025-12,WEEKDAY,7,TRAIN,EW20,22645,21280
2025-12,WEEKENDS/HOLIDAY,12,TRAIN,NE18,5867,5993
2025-12,WEEKDAY,10,TRAIN,CC11,6286,21263
2025-12,WEEKDAY,14,TRAIN,DT18,14735,11686
2025-12,WEEKDAY,17,TRAIN,EW21/CC22,73872,26773
2025-12,WEEKENDS/HOLIDAY,13,TRAIN,BP3,1794,1477
2025-12,WEEKDAY,21,TRAIN,NE1/CC29,103493,20832
2025-12,WEEKENDS/HOLIDAY,5,TRAIN,NS14,3166,604
2025-12,WEEKDAY,11,TRAIN,DT34,5438,2797
2025-12,WEEKDAY,17,TRAIN,EW22,24629,11681
